departure_id,departure_city,departure_name,departure_latitude,departure_longitude,destination_id,destination_city,destination_name,destination_latitude,destination_longitude,distance,new_dep_latitude,new_dep_longitude,new_dest_latitude,new_dest_longitude,new_distance,color,emissions
8010085.0,Dresden,Dresden Hbf,51.040221,13.731409,8010101.0,Erfurt,Erfurt Hbf,50.97255,11.038502,188.55591449344263,51.05089,13.73832,50.9787,11.03283,189.42179790308526,#3333FF,16338.408411165652
8010101.0,Erfurt,Erfurt Hbf,50.97255,11.038502,8000261.0,Munchen,Munchen Hbf,48.140364,11.558744,317.15028969367097,50.9787,11.03283,48.13743,11.57549,318.3477197883313,#3333FF,21654.243020994258
8000262.0,Munchen,Munchen Ost,48.127302,11.604993,8300093.0,Venice,Venezia Mestre,45.481903,12.231901,297.99674795837194,48.13743,11.57549,45.43713,12.33265,305.7390024247574,#3333FF,13948.902164087816
8300093.0,Venice,Venezia Mestre,45.481903,12.231901,8300263.0,Rome,Roma Termini,41.900492,12.502791,398.8291596674816,45.43713,12.33265,41.89193,12.51133,394.46986425782586,#3333FF,2848.286538525238
8300263.0,Rome,Roma Termini,41.900492,12.502791,8300293.0,Bari,Bari Centrale,41.117703,16.870173,373.88956641292623,41.89193,12.51133,37.65409,40.54635,2430.468846169976,#3333FF,1803.5372438380664
8302483.0,Bari,Bari Ferryport,41.136751,16.843493,7389004.0,Igoumenitsa,Igoumenitsa Hafen,39.489163,20.258333,342.5900511484789,37.65409,40.54635,39.50342,20.26728,1770.9480964469426,#3333FF,13401.523515660185
7389004.0,Igoumenitsa,Igoumenitsa Hafen,39.489163,20.258333,7350006.0,Corfu,Corfu,39.629997,19.901111,34.39534808856661,39.50342,20.26728,39.62441,19.92016,32.655754522727776,#3333FF,12563.76545968551
8300263.0,Rome,Roma Termini,41.900492,12.502791,8000261.0,Munchen,Munchen Hbf,48.140364,11.558744,697.7827484777281,41.89193,12.51133,48.13743,11.57549,698.3378073799258,#3333FF,18128.742930765664
8000249.0,Memmingen,Memmingen,47.985848,10.186954,8000261.0,Munchen,Munchen Hbf,48.140364,11.558744,103.37792954034845,47.98372,10.18527,48.13743,11.57549,104.71900597764822,#3333FF,10554.385943336698
1000094.0,Helsinki,Helsinki,60.171742,24.941443,1000085.0,Riihimaki,Riihimaki,60.735177,24.781318,63.26332265102547,60.16952,24.93545,60.73769,24.77726,63.77025358325743,#3333FF,2164.7810291932483
1000085.0,Riihimaki,Riihimaki,60.735177,24.781318,1000039.0,Toijala,Toijala,61.170264,23.860544,69.3658302432135,60.73769,24.77726,61.1678,23.83819,69.69612722706297,#3333FF,11761.400576648806
1000039.0,Toijala,Toijala,61.170264,23.860544,1000093.0,Turku,Turku satama/Ã…bo hamn,60.43473,22.223249,120.7281248177892,61.1678,23.83819,60.45148,22.26869,116.56614704336629,#3333FF,17101.476624694642
1000093.0,Turku,Turku satama/Ã…bo hamn,60.43473,22.223249,7400151.0,Stockholm,Stockholm StadsgÃ¥rden (Viking),59.316886,18.095555,261.6822052944032,60.45148,22.26869,59.32938,18.06871,265.36752246987106,#3333FF,16405.83761230337
8600623.0,Fredericia,Fredericia st,55.568087,9.738814,8002549.0,Hamburg,Hamburg Hbf,53.553533,10.00636,224.67091152193728,55.56568,9.75257,53.57532,10.01534,221.96469753016126,#3333FF,6205.304733215366
8002549.0,Hamburg,Hamburg Hbf,53.553533,10.00636,8098160.0,Berlin,Berlin Hbf (tief),52.52585,13.368892,252.15058597784912,53.57532,10.01534,52.52437,13.41053,255.22378237270536,#3333FF,6991.747245950171
7350010.0,Heraklion,Heraklion,35.342502,25.142496,7350001.0,Piraeus,Piraeus LimÃ¡ni,37.948052,23.641666,319.15574663509125,35.32787,25.14341,37.94203,23.64619,319.8979399821997,#3333FF,3332.6139251344475
7300408.0,Piraeus,Piraeus Port,37.949032,23.643689,7300104.0,Kiato,Kiato,38.013997,22.73469,79.99560919016822,37.94203,23.64619,38.01321,22.74839,79.08847014071439,#3333FF,15607.498914020274
7300104.0,Kiato,Kiato,38.013997,22.73469,7300052.0,Patras,Patras,38.249667,21.734694,91.30546086240268,38.01321,22.74839,38.24444,21.73444,92.34006914142633,#3333FF,13011.975372223416
7300021.0,Patras,Patras Ferryport,38.226385,21.71917,8302483.0,Bari,Bari Ferryport,41.136751,16.843493,527.8841417737615,38.24444,21.73444,37.65409,40.54635,1647.9598171396415,#3333FF,4308.829506480549
8300293.0,Bari,Bari Centrale,41.117703,16.870173,8300217.0,Bologna,Bologna Centrale,44.506142,11.343407,587.299052630346,37.65409,40.54635,44.49381,11.33875,2548.098786466058,#3333FF,17758.104311311952
8100085.0,Klagenfurt,Klagenfurt Hbf,46.615586,14.313569,8100002.0,Salzburg,Salzburg Hbf,47.813848,13.045514,164.0863039747495,46.62472,14.30528,47.79941,13.04399,161.66659349833859,#3333FF,4906.729092633866
8000261.0,Munchen,Munchen Hbf,48.140364,11.558744,8000284.0,Nurnberg,Nurnberg Hbf,49.445435,11.08227,149.2548162205043,48.13743,11.57549,49.45421,11.07752,150.89331097887487,#3333FF,14524.299253478375
8000284.0,Nurnberg,Nurnberg Hbf,49.445435,11.08227,8098160.0,Berlin,Berlin Hbf (tief),52.52585,13.368892,378.0310907380524,49.45421,11.07752,52.52437,13.41053,378.3809138037415,#3333FF,12800.74784825496
7800495.0,Split,Split Predgrade,43.521967,16.455662,7800020.0,Zagreb,Zagreb Glavni kolodvor,45.804436,15.978704,256.58542563672825,43.50891,16.43915,45.81444,15.97798,258.94349900733454,#3333FF,12375.970539855229
7800020.0,Zagreb,Zagreb Glavni kolodvor,45.804436,15.978704,8000261.0,Munchen,Munchen Hbf,48.140364,11.558744,424.0680422670787,45.81444,15.97798,48.13743,11.57549,422.1233777685271,#3333FF,15877.156855833886
8000105.0,Frankfurt (Oder),Frankfurt(Main)Hbf,50.106817,8.663003,8500010.0,Basel,Basel SBB,47.547408,7.589548,295.23393914176467,52.34714,14.55062,51.14741,4.30129,717.4632168040929,#3333FF,19601.85690798385
8500010.0,Basel,Basel SBB,47.547408,7.589548,8700031.0,Mulhouse,Mulhouse Ville,47.741953,7.343045,28.44258914706989,51.14741,4.30129,47.75205,7.32866,436.3000184534861,#3333FF,14259.640780676013
8700031.0,Mulhouse,Mulhouse Ville,47.741953,7.343045,8700151.0,Nimes,Nimes,43.8324,4.366169,492.1087676398961,47.75205,7.32866,43.83665,4.35788,492.44819842402705,#3333FF,5502.973355806526
8700151.0,Nimes,Nimes,43.8324,4.366169,7100064.0,City of Barcelona,Barcelona Sants,41.378911,2.140368,328.01350440191425,43.83665,4.35788,41.38879,2.15899,326.26278719376234,#3333FF,6135.89757020318
8098160.0,Berlin,Berlin Hbf (tief),52.52585,13.368892,8000026.0,Basel,Basel Bad Bf,47.567679,7.607886,687.4141510723578,52.52437,13.41053,51.14741,4.30129,643.8617632415552,#3333FF,11956.94319966819
8500010.0,Basel,Basel SBB,47.547408,7.589548,8503000.0,Zurich,Zurich HB,47.378177,8.540211,73.90184458361075,51.14741,4.30129,47.36667,8.55,521.163641871941,#3333FF,12755.998360606163
8503000.0,Zurich,Zurich HB,47.378177,8.540211,8300418.0,Milan,Milano Rogoredo,45.433667,9.239014,222.7566799548269,47.36667,8.55,45.46427,9.18951,217.14165104048723,#3333FF,14522.58179452801
8300418.0,Milan,Milano Rogoredo,45.433667,9.239014,8300186.0,Ancona,Ancona,43.607598,13.497798,393.915072302721,45.46427,9.18951,43.5942,13.50337,400.13609099974246,#3333FF,12260.013578949003
8300418.0,Milan,Milano Rogoredo,45.433667,9.239014,8300217.0,Bologna,Bologna Centrale,44.506142,11.343407,195.0368494523943,45.46427,9.18951,44.49381,11.33875,200.54406572220668,#3333FF,12455.31366438054
8002549.0,Hamburg,Hamburg Hbf,53.553533,10.00636,8503000.0,Zurich,Zurich HB,47.378177,8.540211,694.4246165112157,53.57532,10.01534,47.36667,8.55,698.0750282897361,#3333FF,12014.884996184252
8300046.0,Milan,Milano Centrale,45.487143,9.204828,8300342.0,Villa,Villa S.Giovanni,38.219733,15.634003,967.0266808675774,45.46427,9.18951,44.42338,8.14141,142.12598665159965,#3333FF,12934.10570750389
8300342.0,Villa,Villa S.Giovanni,38.219733,15.634003,8300331.0,Messina,Messina Marittima,38.187516,15.563752,7.107321720900882,44.42338,8.14141,38.19394,15.55256,928.1755972248,#3333FF,11713.47662522182
8300332.0,Messina,Messina Centrale,38.184541,15.561793,8300307.0,Catania,Catania Centrale,37.506574,15.100161,85.59271918439407,38.19394,15.55256,37.49223,15.07041,88.77247276921923,#3333FF,12645.174836976494
8098160.0,Berlin,Berlin Hbf (tief),52.52585,13.368892,8503000.0,Zurich,Zurich HB,47.378177,8.540211,668.2252483539515,52.52437,13.41053,47.36667,8.55,670.377915024295,#3333FF,19437.17741974236
8011160.0,Berlin,Berlin Hbf,52.524924,13.369629,7400002.0,Stockholm,Stockholm Central,59.33001,18.05763,810.60469405118,52.52437,13.41053,59.32938,18.06871,809.9373972211163,#3333FF,20391.704368583432
7400151.0,Stockholm,Stockholm StadsgÃ¥rden (Viking),59.316886,18.095555,1000260.0,Helsinki,Helsinki-Katajanokka,60.163382,24.969364,396.2982083446032,59.32938,18.06871,60.16952,24.93545,395.6428660012788,#3333FF,4116.06925276376
8098160.0,Berlin,Berlin Hbf (tief),52.52585,13.368892,8000013.0,Augsburg,Augsburg Hbf,48.365247,10.885595,494.85177924451625,52.52437,13.41053,48.37154,10.89851,494.76654887225584,#3333FF,13991.98601416251
8011160.0,Berlin,Berlin Hbf,52.524924,13.369629,5400202.0,Breclav,Breclav,48.753904,16.893239,487.2768579558651,52.52437,13.41053,48.75897,16.88203,484.87229904783027,#3333FF,2530.468970905488
5400202.0,Breclav,Breclav,48.753904,16.893239,8103000.0,Wien,Wien Hbf,48.184923,16.375865,73.87589515991095,48.75897,16.88203,48.20849,16.37208,71.82842502767994,#3333FF,6716.943694403993
8103000.0,Wien,Wien Hbf,48.184923,16.375865,8100085.0,Klagenfurt,Klagenfurt Hbf,46.615586,14.313569,233.5284202417108,48.20849,16.37208,46.62472,14.30528,234.9220476818808,#3333FF,11370.03224869158
8000013.0,Augsburg,Augsburg Hbf,48.365247,10.885595,7800020.0,Zagreb,Zagreb Glavni kolodvor,45.804436,15.978704,479.18933949780313,48.37154,10.89851,45.81444,15.97798,478.06739406443506,#3333FF,14809.068801989171
8103000.0,Wien,Wien Hbf,48.184923,16.375865,8098160.0,Berlin,Berlin Hbf (tief),52.52585,13.368892,527.6127058935058,48.20849,16.37208,52.52437,13.41053,523.7502569475553,#3333FF,12418.611608097624
7350009.0,Chios,Chios,38.372226,26.137224,7350001.0,Piraeus,Piraeus LimÃ¡ni,37.948052,23.641666,223.22133201001563,38.36875,26.13718,37.94203,23.64619,222.90495655280986,#3333FF,14297.621124412768
