,departure_id,departure_city,departure_name,departure_latitude,departure_longitude,destination_id,destination_city,destination_name,destination_latitude,destination_longitude,distance
2889,7100180,Sevilla,Sevilla Santa Justa,37.391926,-5.975265,7100042,Jerez,Jerez de la Frontera,36.6782,-6.12516,80.47024921758735
2977,7100042,Jerez,Jerez de la Frontera,36.6782,-6.12516,7100049,Madrid,Madrid-Puerta de Atocha,40.405964,-3.689757,465.4375308620191
2995,5600207,Bratislava,Bratislava hl.st.,48.158908,17.106463,5400014,Praha,Praha hl.n.,50.083058,14.436038,289.00083544057827
2996,5600007,Kosice,Kosice,48.722918,21.268721,5600207,Bratislava,Bratislava hl.st.,48.158908,17.106463,313.32922873113523
3039,8010205,Leipzig,Leipzig Hbf,51.345081,12.381167,8010089,Dresden,Dresden-Neustadt,51.065912,13.740524,99.65818046549369
3040,8010089,Dresden,Dresden-Neustadt,51.065912,13.740524,5100085,Zgorzelec,Zgorzelec,51.140028,15.003545,88.56956689343033
3041,5100085,Zgorzelec,Zgorzelec,51.140028,15.003545,5100069,Wroclaw,Wroclaw Glowny,51.098075,17.037084,142.00810509941084
3042,5100069,Wroclaw,Wroclaw Glowny,51.098075,17.037084,5100172,Warszawa,Warszawa Gdanska,52.259185,20.993714,301.7595989035032
3059,7100051,Alacant,Alacant-Terminal,38.344602,-0.4958,7100064,Barcelona,Barcelona Sants,41.378911,2.140368,405.4933888614348
3063,8501008,Genève,Genève,46.210209,6.142455,8501120,Lausanne,Lausanne,46.516795,6.629095,50.56241590984421
3064,8501120,Lausanne,Lausanne,46.516795,6.629095,8504300,Biel,Biel/Bienne,47.132898,7.242915,82.9107134560138
3065,8504300,Biel,Biel/Bienne,47.132898,7.242915,8500010,Basel,Basel SBB,47.547408,7.589548,52.97741283454756
3066,8500010,Basel,Basel SBB,47.547408,7.589548,8000105,Frankfurt,Frankfurt(Main)Hbf,50.106817,8.663003,295.23393914176467
3067,8000105,Frankfurt,Frankfurt(Main)Hbf,50.106817,8.663003,8002549,Hamburg,Hamburg Hbf,53.553533,10.00636,394.1985634536505
3081,8700011,Paris,Paris Est,48.876976,2.35912,8000105,Frankfurt,Frankfurt(Main)Hbf,50.106817,8.663003,475.2356087182326
3082,8000105,Frankfurt,Frankfurt(Main)Hbf,50.106817,8.663003,8000120,Gemünden,Gemünden(Main),50.049942,9.700044,74.27044233373907
3083,8000120,Gemünden,Gemünden(Main),50.049942,9.700044,8003189,Karlstadt,Karlstadt(Main),49.962935,9.768254,10.833402217661265
3112,1000038,Tampere,Tampere/Tammerfors,61.499332,23.773385,1000069,Oulu,Oulu/Uleaborg,65.011327,25.484185,399.75187140974083
3141,8002549,Hamburg,Hamburg Hbf,53.553533,10.00636,8000244,Mannheim,Mannheim Hbf,49.479181,8.469268,465.3347901817266
3142,8000244,Mannheim,Mannheim Hbf,49.479181,8.469268,8700011,Paris,Paris Est,48.876976,2.35912,449.03222856235413
3143,8700011,Paris,Paris Est,48.876976,2.35912,8700010,Paris,Paris Austerlitz,48.841028,2.366392,4.032481724614932
3144,8700010,Paris,Paris Austerlitz,48.841028,2.366392,8700065,Toulouse,Toulouse-Matabiau,43.611409,1.453942,585.7155037732144
3145,8700065,Toulouse,Toulouse-Matabiau,43.611409,1.453942,8700164,Perpignan,Perpignan,42.695939,2.879398,154.05094317651142
3146,8700164,Perpignan,Perpignan,42.695939,2.879398,7100079,Port,Port Bou,42.424725,3.157848,37.80976842818281
3147,7100079,Port,Port Bou,42.424725,3.157848,7100064,Barcelona,Barcelona Sants,41.378911,2.140368,143.57370513956474
3149,7100049,Madrid,Madrid-Puerta de Atocha,40.405964,-3.689757,7100038,Córdoba,Córdoba Central,37.888589,-4.789596,295.543226872124
3150,7100038,Córdoba,Córdoba Central,37.888589,-4.789596,7100045,Malaga,Malaga,36.71182,-4.43214,134.61614553092872
3181,8000261,München,München Hbf,48.140364,11.558744,5500003,Budapest,Budapest-Keleti,47.500386,19.08507,566.1895103198639
3203,8000261,München,München Hbf,48.140364,11.558744,8300151,Firenze,Firenze S.M.N.,43.776811,11.247807,485.79870220165446
3217,8000103,Flensburg,Flensburg,54.774079,9.436175,8000271,Neumünster,Neumünster,54.076336,9.980031,85.18888854445974
3218,8000271,Neumünster,Neumünster,54.076336,9.980031,8000023,Bad,Bad Oldesloe,53.805303,10.382568,40.03007178230919
3219,8000023,Bad,Bad Oldesloe,53.805303,10.382568,8000237,Lübeck,Lübeck Hbf,53.86767,10.669737,20.078285431949645
3220,8000237,Lübeck,Lübeck Hbf,53.86767,10.669737,8010018,Bad,Bad Kleinen,53.766847,11.466496,53.49121010273255
3221,8010018,Bad,Bad Kleinen,53.766847,11.466496,8010066,Bützow,Bützow,53.837394,11.99855,35.809155746057954
3225,7400002,Stockholm,Stockholm Central,59.33001,18.05763,7400043,Boden,Boden Centralstation,65.828851,21.708131,746.1131922295053
3226,7400043,Boden,Boden Centralstation,65.828851,21.708131,7402007,Kiruna,Kiruna Station,67.86827,20.199526,236.1515866143836
3227,7400002,Stockholm,Stockholm Central,59.33001,18.05763,7400114,Luleaa,Luleaa Central,65.584048,22.165664,726.411601948553
3246,8300335,Paola,Paola,39.358999,16.033852,8300341,Palermo,Palermo Centrale,38.109418,13.367472,269.7880000479276
3251,8000103,Flensburg,Flensburg,54.774079,9.436175,5400014,Praha,Praha hl.n.,50.083058,14.436038,621.745933769358
3263,8000262,München,München Ost,48.127302,11.604993,7800020,Zagreb,Zagreb Glavni kolodvor,45.804436,15.978704,420.4406288210929
3276,8000261,München,München Hbf,48.140364,11.558744,8300098,Padova,Padova,45.417828,11.88062,303.7219580286267
3277,8300098,Padova,Padova,45.417828,11.88062,8300094,Venezia,Venezia Santa Lucia,45.441397,12.320462,34.42290380254732
3387,8002549,Hamburg,Hamburg Hbf,53.553533,10.00636,8000207,Köln,Köln Hbf,50.942823,6.959197,356.728695640855
3389,8700014,Paris,Paris Nord,48.880886,2.354931,8700012,Paris,Paris Gare de Lyon,48.844839,2.374069,4.245694206596046
3390,8700012,Paris,Paris Gare de Lyon,48.844839,2.374069,8700164,Perpignan,Perpignan,42.695939,2.879398,684.844482463217
3392,7100079,Port,Port Bou,42.424725,3.157848,7100077,Girona,Girona,41.979517,2.816482,56.93307793724374
3393,7100077,Girona,Girona,41.979517,2.816482,7100049,Madrid,Madrid-Puerta de Atocha,40.405964,-3.689757,571.6554122752954
3405,7100017,Madrid,Madrid-Chamartin,40.472151,-3.68235,7100051,Alacant,Alacant-Terminal,38.344602,-0.4958,361.7760615753281
3441,8505004,Arth,Arth-Goldau,47.049046,8.549443,8300046,Milano,Milano Centrale,45.487143,9.204828,180.8327219187658
3446,8000207,Köln,Köln Hbf,50.942823,6.959197,8800004,Bruxelles,Bruxelles Midi,50.835375,4.335695,184.40151915203538
3447,8800004,Bruxelles,Bruxelles Midi,50.835375,4.335695,8898004,Bruxelles,Bruxelles-Midi Eurostar,50.835896,4.335318,0.06369532469518524
3448,8898004,Bruxelles,Bruxelles-Midi Eurostar,50.835896,4.335318,7004428,London,London St. Pancras International,51.531922,-0.126361,320.40616602125453
3449,7004428,London,London St. Pancras International,51.531922,-0.126361,7001323,London,London Euston,51.527868,-0.133409,0.6640085218474281
3450,7001323,London,London Euston,51.527868,-0.133409,7001052,Holyhead,Holyhead,53.307615,-4.631135,363.49589016310125
3451,7001052,Holyhead,Holyhead,53.307615,-4.631135,6000103,Dublin,Dublin Port-Stena,53.345388,-6.195168,103.95279806255996
3452,6000103,Dublin,Dublin Port-Stena,53.345388,-6.195168,6000043,Dublin,Dublin Connolly,53.352111,-6.248006,3.586014521726625
3483,8002549,Hamburg,Hamburg Hbf,53.553533,10.00636,5400201,Praha,Praha-Holesovice,50.110215,14.440011,489.10311372177057
3489,8300046,Milano,Milano Centrale,45.487143,9.204828,8300151,Firenze,Firenze S.M.N.,43.776811,11.247807,249.5873836684094
3504,8000261,München,München Hbf,48.140364,11.558744,7800020,Zagreb,Zagreb Glavni kolodvor,45.804436,15.978704,424.0680422670788
3516,6000043,Dublin,Dublin Connolly,53.352111,-6.248006,6000044,Dublin,Dublin Ferryport,53.345298,-6.19702,3.468055697751685
