airline,airline ID, source airport, source airport id,destination airport, destination airport id, stops, equipment,source_longitude,source_latitude,source_city,source_country,source_country_code,dest_longitude,dest_latitude,dest_city,dest_country,dest_country_code,distance,new_source_latitude,new_source_longitude,new_dest_latitude,new_dest_longitude,new_distance,color,emissions
IB,2822,MAD,1229.0,RJL,5781.0,0.0,CR2,-3.56264,40.471926,Madrid city,Spain,ES,-2.32223510742,42.4609534888,Logrono Agoncillo,Spain,ES,244.1197548003642,40.4165,-3.70256,42.456164842,-2.318832058,254.43880574089607,#FF3333,27903.173028040062
IB,2822,MAD,1229.0,SDR,1251.0,0.0,319,-3.56264,40.471926,Madrid city,Spain,ES,-3.82000994682312,43.4271011352539,Santander City,Spain,ES,329.2885613437141,40.4165,-3.70256,43.46472,-3.80444,339.0512459744934,#FF3333,37271.74174780855
IB,2822,MAD,1229.0,SPC,1053.0,0.0,32S,-3.56264,40.471926,Madrid city,Spain,ES,-1.77556,28.626499,Santa Cruz De La Palma,Spain,ES,1327.1936182594125,40.4165,-3.70256,28.6833306,-17.7666636,NA,#FF3333,147041.29800853538
IB,2822,MAD,1229.0,SVQ,1253.0,0.0,32S,-3.56264,40.471926,Madrid city,Spain,ES,-5.89310979843139,37.4179992675781,Seville city,Spain,ES,394.8473356502907,40.4165,-3.70256,37.38283,-5.97317,390.34745025931835,#FF3333,44483.20692153198
IB,2822,MAD,1229.0,SXB,1435.0,0.0,CR2,-3.56264,40.471926,Madrid city,Spain,ES,76.2823009490966,48.5382995605468,Strasbourg,France,FR,6102.905125778074,40.4165,-3.70256,48.58392,7.74553,1281.5413447509764,#FF3333,672369.5638355882
IB,2822,MAD,1229.0,TLS,1273.0,0.0,CR9 CRK CR2,-3.56264,40.471926,Madrid city,Spain,ES,13.6382,43.629101,Toulouse,France,FR,1460.0551470458931,40.4165,-3.70256,43.60426,1.44367,553.362922207231,#FF3333,161656.06617504824
IB,2822,MAD,1229.0,TRN,1526.0,0.0,CRK CR9,-3.56264,40.471926,Madrid city,Spain,ES,76.4963,45.200802,Torino,Italy,IT,6273.563037299086,40.4165,-3.70256,45.07049,7.68682,1062.9369196318796,#FF3333,691141.9341028995
IB,2822,MAD,1229.0,VCE,1551.0,0.0,321 319 320,-3.56264,40.471926,Madrid city,Spain,ES,12.3519,45.505299,Venice,Italy,IT,1407.1074581812932,40.4165,-3.70256,45.43713,12.33265,1416.7238833963274,#FF3333,155831.82039994223
IB,2822,MAD,1229.0,XRY,1226.0,0.0,CRK CR9 CR2,-3.56264,40.471926,Madrid city,Spain,ES,-6.06011009216308,36.7445983886718,Jerez,Spain,ES,467.7800525335926,40.4165,-3.70256,22.64971,-102.99032,NA,#FF3333,52505.80577869518
IB,2822,NTE,1418.0,SVQ,1253.0,0.0,320,-1.61073005199,47.1531982422,Nantes,France,FR,-5.89310979843139,37.4179992675781,Seville city,Spain,ES,1137.9140070726228,47.21725,-1.55336,37.38283,-5.97317,1151.8655244462743,#FF3333,126220.5407779885
IB,2822,OPO,1636.0,ORY,1386.0,0.0,320,-8.68138980865,41.2481002808,Porto,Portugal,PT,23.794444,48.7233333,Paris,France,FR,2662.5584782738574,40.84395,14.25724,-26.9033,27.45727,1291.9966049227983,#FF3333,293931.4326101243
IB,2822,ORY,1386.0,SVQ,1253.0,0.0,320,23.794444,48.7233333,Paris,France,FR,-5.89310979843139,37.4179992675781,Seville city,Spain,ES,2695.5343403344164,-26.9033,27.45727,37.38283,-5.97317,1442.3211091550374,#FF3333,297558.7774367858
IB,2822,ORY,1386.0,TFN,1057.0,0.0,321,23.794444,48.7233333,Paris,France,FR,-1.63414993286,28.4827003479,Tenerife,Spain,ES,3125.306063040363,-26.9033,27.45727,9.93303,-74.69346,NA,#FF3333,344833.6669344399
